X	Y	Gültig
[mm]	[mm]	[1/0]
-44.795867	152.085309	1
-44.795367	152.085271	1
-44.794867	152.085296	1
-44.794367	152.085309	1
-44.793867	152.085296	1
-44.793367	152.085322	1
-44.792867	152.085309	1
-44.792367	152.085296	1
-44.791867	152.085322	1
-44.791367	152.085271	1
-44.790867	152.085259	1
-44.790367	152.085233	1
-44.789867	152.085221	1
-44.789367	152.085221	1
-44.788867	152.085208	1
-44.788367	152.085208	1
-44.787867	152.085195	1
-44.787367	152.085208	1
-44.786867	152.085183	1
-44.786367	152.085157	1
-44.785867	152.085145	1
-44.785367	152.085132	1
-44.784867	152.085132	1
-44.784367	152.085094	1
-44.783867	152.085069	1
-44.783367	152.085056	1
-44.782867	152.085069	1
-44.782367	152.085082	1
-44.781867	152.085094	1
-44.781367	152.085082	1
-44.780867	152.085056	1
-44.780367	152.085082	1
-44.779867	152.085094	1
-44.779367	152.085107	1
-44.778867	152.085107	1
-44.778367	152.085094	1
-44.777867	152.085120	1
-44.777367	152.085107	1
-44.776867	152.085094	1
-44.776367	152.085069	1
-44.775867	152.085069	1
-44.775367	152.085082	1
-44.774867	152.085082	1
-44.774367	152.085094	1
-44.773867	152.085107	1
-44.773367	152.085157	1
-44.772867	152.085195	1
-44.772367	152.085233	1
-44.771867	152.085221	1
-44.771367	152.085208	1
-44.770867	152.085221	1
-44.770367	152.085233	1
-44.769867	152.085233	1
-44.769367	152.085208	1
-44.768867	152.085208	1
-44.768367	152.085208	1
-44.767867	152.085221	1
-44.767367	152.085208	1
-44.766867	152.085221	1
-44.766367	152.085208	1
-44.765867	152.085195	1
-44.765367	152.085145	1
-44.764867	152.085107	1
-44.764367	152.085120	1
-44.763867	152.085082	1
-44.763367	152.085107	1
-44.762867	152.085132	1
-44.762367	152.085120	1
-44.761867	152.085120	1
-44.761367	152.085132	1
-44.760867	152.085145	1
-44.760367	152.085132	1
-44.759867	152.085120	1
-44.759367	152.085107	1
-44.758867	152.085120	1
-44.758367	152.085107	1
-44.757867	152.085107	1
-44.757367	152.085082	1
-44.756867	152.085031	1
-44.756367	152.085056	1
-44.755867	152.085069	1
-44.755367	152.085120	1
-44.754867	152.085145	1
-44.754367	152.085170	1
-44.753867	152.085170	1
-44.753367	152.085183	1
-44.752867	152.085183	1
-44.752367	152.085183	1
-44.751867	152.085170	1
-44.751367	152.085195	1
-44.750867	152.085221	1
-44.750367	152.085246	1
-44.749867	152.085246	1
-44.749367	152.085221	1
-44.748867	152.085221	1
-44.748367	152.085221	1
-44.747867	152.085208	1
-44.747367	152.085183	1
-44.746867	152.085157	1
-44.746367	152.085132	1
-44.745867	152.085132	1
-44.745367	152.085157	1
-44.744867	152.085145	1
-44.744367	152.085145	1
-44.743867	152.085183	1
-44.743367	152.085183	1
-44.742867	152.085183	1
-44.742367	152.085195	1
-44.741867	152.085195	1
-44.741367	152.085208	1
-44.740867	152.085221	1
-44.740367	152.085195	1
-44.739867	152.085145	1
-44.739367	152.085145	1
-44.738867	152.085157	1
-44.738367	152.085157	1
-44.737867	152.085145	1
-44.737367	152.085120	1
-44.736867	152.085120	1
-44.736367	152.085120	1
-44.735867	152.085145	1
-44.735367	152.085120	1
-44.734867	152.085107	1
-44.734367	152.085069	1
-44.733867	152.085069	1
-44.733367	152.085107	1
-44.732867	152.085107	1
-44.732367	152.085120	1
-44.731867	152.085132	1
-44.731367	152.085157	1
-44.730867	152.085170	1
-44.730367	152.085170	1
-44.729867	152.085132	1
-44.729367	152.085157	1
-44.728867	152.085170	1
-44.728367	152.085170	1
-44.727867	152.085170	1
-44.727367	152.085157	1
-44.726867	152.085170	1
-44.726367	152.085170	1
-44.725867	152.085183	1
-44.725367	152.085157	1
-44.724867	152.085157	1
-44.724367	152.085183	1
-44.723867	152.085233	1
-44.723367	152.085233	1
-44.722867	152.085233	1
-44.722367	152.085195	1
-44.721867	152.085183	1
-44.721367	152.085170	1
-44.720867	152.085145	1
-44.720367	152.085120	1
-44.719867	152.085132	1
-44.719367	152.085157	1
-44.718867	152.085195	1
-44.718367	152.085195	1
-44.717867	152.085170	1
-44.717367	152.085170	1
-44.716867	152.085183	1
-44.716367	152.085170	1
-44.715867	152.085157	1
-44.715367	152.085145	1
-44.714867	152.085145	1
-44.714367	152.085157	1
-44.713867	152.085183	1
-44.713367	152.085183	1
-44.712867	152.085157	1
-44.712367	152.085170	1
-44.711867	152.085170	1
-44.711367	152.085157	1
-44.710867	152.085195	1
-44.710367	152.085170	1
-44.709867	152.085157	1
-44.709367	152.085170	1
-44.708867	152.085183	1
-44.708367	152.085170	1
-44.707867	152.085183	1
-44.707367	152.085208	1
-44.706867	152.085221	1
-44.706367	152.085233	1
-44.705867	152.085246	1
-44.705367	152.085259	1
-44.704867	152.085233	1
-44.704367	152.085246	1
-44.703867	152.085195	1
-44.703367	152.085183	1
-44.702867	152.085170	1
-44.702367	152.085157	1
-44.701867	152.085170	1
-44.701367	152.085221	1
-44.700867	152.085208	1
-44.700367	152.085195	1
-44.699867	152.085208	1
-44.699367	152.085221	1
-44.698867	152.085221	1
-44.698367	152.085221	1
-44.697867	152.085221	1
-44.697367	152.085195	1
-44.696867	152.085195	1
-44.696367	152.085183	1
-44.695867	152.085208	1
-44.695367	152.085208	1
-44.694867	152.085208	1
-44.694367	152.085195	1
-44.693867	152.085183	1
-44.693367	152.085145	1
-44.692867	152.085157	1
-44.692367	152.085132	1
-44.691867	152.085120	1
-44.691367	152.085094	1
-44.690867	152.085056	1
-44.690367	152.085044	1
-44.689867	152.085031	1
-44.689367	152.085031	1
-44.688867	152.085069	1
-44.688367	152.085069	1
-44.687867	152.085120	1
-44.687367	152.085082	1
-44.686867	152.085082	1
-44.686367	152.085094	1
-44.685867	152.085107	1
-44.685367	152.085082	1
-44.684867	152.085069	1
-44.684367	152.085044	1
-44.683867	152.085056	1
