X	Y	Gültig
[mm]	[mm]	[1/0]
-44.796137	152.087334	1
-44.795637	152.087322	1
-44.795137	152.087309	1
-44.794637	152.087347	1
-44.794137	152.087360	1
-44.793637	152.087385	1
-44.793137	152.087347	1
-44.792637	152.087347	1
-44.792137	152.087360	1
-44.791637	152.087360	1
-44.791137	152.087372	1
-44.790637	152.087347	1
-44.790137	152.087360	1
-44.789637	152.087360	1
-44.789137	152.087334	1
-44.788637	152.087322	1
-44.788137	152.087309	1
-44.787637	152.087322	1
-44.787137	152.087334	1
-44.786637	152.087322	1
-44.786137	152.087322	1
-44.785637	152.087309	1
-44.785137	152.087309	1
-44.784637	152.087309	1
-44.784137	152.087296	1
-44.783637	152.087322	1
-44.783137	152.087309	1
-44.782637	152.087271	1
-44.782137	152.087309	1
-44.781637	152.087309	1
-44.781137	152.087296	1
-44.780637	152.087296	1
-44.780137	152.087296	1
-44.779637	152.087271	1
-44.779137	152.087296	1
-44.778637	152.087284	1
-44.778137	152.087309	1
-44.777637	152.087309	1
-44.777137	152.087309	1
-44.776637	152.087309	1
-44.776137	152.087284	1
-44.775637	152.087271	1
-44.775137	152.087284	1
-44.774637	152.087271	1
-44.774137	152.087271	1
-44.773637	152.087284	1
-44.773137	152.087296	1
-44.772637	152.087334	1
-44.772137	152.087334	1
-44.771637	152.087334	1
-44.771137	152.087347	1
-44.770637	152.087334	1
-44.770137	152.087334	1
-44.769637	152.087322	1
-44.769137	152.087322	1
-44.768637	152.087284	1
-44.768137	152.087271	1
-44.767637	152.087271	1
-44.767137	152.087259	1
-44.766637	152.087233	1
-44.766137	152.087246	1
-44.765637	152.087271	1
-44.765137	152.087284	1
-44.764637	152.087296	1
-44.764137	152.087271	1
-44.763637	152.087246	1
-44.763137	152.087271	1
-44.762637	152.087309	1
-44.762137	152.087309	1
-44.761637	152.087322	1
-44.761137	152.087372	1
-44.760637	152.087385	1
-44.760137	152.087410	1
-44.759637	152.087423	1
-44.759137	152.087423	1
-44.758637	152.087423	1
-44.758137	152.087423	1
-44.757637	152.087423	1
-44.757137	152.087423	1
-44.756637	152.087398	1
-44.756137	152.087385	1
-44.755637	152.087398	1
-44.755137	152.087410	1
-44.754637	152.087385	1
-44.754137	152.087410	1
-44.753637	152.087423	1
-44.753137	152.087423	1
-44.752637	152.087448	1
-44.752137	152.087448	1
-44.751637	152.087423	1
-44.751137	152.087423	1
-44.750637	152.087410	1
-44.750137	152.087410	1
-44.749637	152.087385	1
-44.749137	152.087334	1
-44.748637	152.087334	1
-44.748137	152.087296	1
-44.747637	152.087309	1
-44.747137	152.087284	1
-44.746637	152.087259	1
-44.746137	152.087259	1
-44.745637	152.087233	1
-44.745137	152.087233	1
-44.744637	152.087221	1
-44.744137	152.087233	1
-44.743637	152.087221	1
-44.743137	152.087233	1
-44.742637	152.087221	1
-44.742137	152.087183	1
-44.741637	152.087195	1
-44.741137	152.087233	1
-44.740637	152.087296	1
-44.740137	152.087334	1
-44.739637	152.087334	1
-44.739137	152.087334	1
-44.738637	152.087360	1
-44.738137	152.087385	1
-44.737637	152.087372	1
-44.737137	152.087385	1
-44.736637	152.087398	1
-44.736137	152.087410	1
-44.735637	152.087423	1
-44.735137	152.087448	1
-44.734637	152.087423	1
-44.734137	152.087435	1
-44.733637	152.087435	1
-44.733137	152.087448	1
-44.732637	152.087435	1
-44.732137	152.087423	1
-44.731637	152.087435	1
-44.731137	152.087435	1
-44.730637	152.087410	1
-44.730137	152.087410	1
-44.729637	152.087398	1
-44.729137	152.087423	1
-44.728637	152.087423	1
-44.728137	152.087435	1
-44.727637	152.087423	1
-44.727137	152.087385	1
-44.726637	152.087360	1
-44.726137	152.087334	1
-44.725637	152.087334	1
-44.725137	152.087296	1
-44.724637	152.087259	1
-44.724137	152.087170	1
-44.723637	152.087132	1
-44.723137	152.087107	1
-44.722637	152.087107	1
-44.722137	152.087107	1
-44.721637	152.087132	1
-44.721137	152.087170	1
-44.720637	152.087221	1
-44.720137	152.087246	1
-44.719637	152.087246	1
-44.719137	152.087271	1
-44.718637	152.087271	1
-44.718137	152.087309	1
-44.717637	152.087360	1
-44.717137	152.087385	1
-44.716637	152.087385	1
-44.716137	152.087398	1
-44.715637	152.087435	1
-44.715137	152.087461	1
-44.714637	152.087473	1
-44.714137	152.087461	1
-44.713637	152.087461	1
-44.713137	152.087448	1
-44.712637	152.087461	1
-44.712137	152.087499	1
-44.711637	152.087473	1
-44.711137	152.087486	1
-44.710637	152.087511	1
-44.710137	152.087524	1
-44.709637	152.087511	1
-44.709137	152.087511	1
-44.708637	152.087499	1
-44.708137	152.087511	1
-44.707637	152.087499	1
-44.707137	152.087461	1
-44.706637	152.087461	1
-44.706137	152.087423	1
-44.705637	152.087398	1
-44.705137	152.087410	1
-44.704637	152.087398	1
-44.704137	152.087435	1
-44.703637	152.087372	1
-44.703137	152.087385	1
-44.702637	152.087372	1
-44.702137	152.087360	1
-44.701637	152.087347	1
-44.701137	152.087334	1
-44.700637	152.087347	1
-44.700137	152.087360	1
-44.699637	152.087385	1
-44.699137	152.087385	1
-44.698637	152.087372	1
-44.698137	152.087385	1
-44.697637	152.087385	1
-44.697137	152.087410	1
-44.696637	152.087423	1
-44.696137	152.087448	1
-44.695637	152.087435	1
-44.695137	152.087461	1
-44.694637	152.087448	1
-44.694137	152.087486	1
-44.693637	152.087486	1
-44.693137	152.087473	1
-44.692637	152.087486	1
-44.692137	152.087499	1
-44.691637	152.087473	1
-44.691137	152.087486	1
-44.690637	152.087461	1
-44.690137	152.087461	1
-44.689637	152.087435	1
-44.689137	152.087423	1
-44.688637	152.087410	1
-44.688137	152.087423	1
-44.687637	152.087410	1
-44.687137	152.087423	1
-44.686637	152.087423	1
-44.686137	152.087423	1
-44.685637	152.087410	1
-44.685137	152.087435	1
-44.684637	152.087448	1
-44.684137	152.087448	1
-44.683637	152.087423	1
-44.683137	152.087435	1
-44.682637	152.087423	1
-44.682137	152.087435	1
-44.681637	152.087461	1
-44.681137	152.087448	1
-44.680637	152.087435	1
-44.680137	152.087448	1
-44.679637	152.087461	1
-44.679137	152.087486	1
-44.678637	152.087435	1
-44.678137	152.087435	1
-44.677637	152.087410	1
-44.677137	152.087423	1
-44.676637	152.087423	1
-44.676137	152.087435	1
-44.675637	152.087435	1
-44.675137	152.087461	1
-44.674637	152.087499	1
-44.674137	152.087524	1
-44.673637	152.087499	1
-44.673137	152.087486	1
-44.672637	152.087499	1
-44.672137	152.087524	1
-44.671637	152.087511	1
-44.671137	152.087524	1
-44.670637	152.087486	1
-44.670137	152.087511	1
-44.669637	152.087549	1
-44.669137	152.087537	1
-44.668637	152.087537	1
-44.668137	152.087537	1
-44.667637	152.087511	1
-44.667137	152.087537	1
-44.666637	152.087537	1
-44.666137	152.087537	1
-44.665637	152.087511	1
-44.665137	152.087511	1
-44.664637	152.087486	1
-44.664137	152.087511	1
-44.663637	152.087511	1
-44.663137	152.087511	1
-44.662637	152.087524	1
-44.662137	152.087524	1
-44.661637	152.087511	1
-44.661137	152.087524	1
-44.660637	152.087549	1
-44.660137	152.087549	1
-44.659637	152.087537	1
-44.659137	152.087549	1
-44.658637	152.087549	1
-44.658137	152.087587	1
-44.657637	152.087574	1
-44.657137	152.087587	1
-44.656637	152.087600	1
-44.656137	152.087625	1
-44.655637	152.087587	1
-44.655137	152.087574	1
-44.654637	152.087537	1
-44.654137	152.087537	1
-44.653637	152.087549	1
-44.653137	152.087537	1
-44.652637	152.087486	1
-44.652137	152.087461	1
-44.651637	152.087499	1
-44.651137	152.087524	1
-44.650637	152.087549	1
-44.650137	152.087537	1
-44.649637	152.087511	1
-44.649137	152.087511	1
-44.648637	152.087511	1
-44.648137	152.087524	1
-44.647637	152.087486	1
-44.647137	152.087461	1
-44.646637	152.087473	1
-44.646137	152.087473	1
-44.645637	152.087486	1
-44.645137	152.087511	1
-44.644637	152.087486	1
-44.644137	152.087499	1
-44.643637	152.087486	1
-44.643137	152.087473	1
-44.642637	152.087473	1
-44.642137	152.087448	1
-44.641637	152.087423	1
-44.641137	152.087423	1
-44.640637	152.087435	1
-44.640137	152.087435	1
-44.639637	152.087448	1
-44.639137	152.087473	1
-44.638637	152.087499	1
-44.638137	152.087549	1
-44.637637	152.087549	1
-44.637137	152.087549	1
-44.636637	152.087549	1
-44.636137	152.087562	1
-44.635637	152.087587	1
-44.635137	152.087574	1
-44.634637	152.087562	1
-44.634137	152.087562	1
-44.633637	152.087600	1
-44.633137	152.087638	1
-44.632637	152.087638	1
-44.632137	152.087574	1
-44.631637	152.087574	1
-44.631137	152.087574	1
-44.630637	152.087549	1
-44.630137	152.087537	1
-44.629637	152.087511	1
-44.629137	152.087499	1
-44.628637	152.087499	1
-44.628137	152.087511	1
-44.627637	152.087549	1
-44.627137	152.087511	1
-44.626637	152.087524	1
-44.626137	152.087549	1
-44.625637	152.087524	1
-44.625137	152.087486	1
-44.624637	152.087461	1
-44.624137	152.087473	1
-44.623637	152.087461	1
-44.623137	152.087473	1
-44.622637	152.087461	1
-44.622137	152.087461	1
-44.621637	152.087499	1
-44.621137	152.087524	1
-44.620637	152.087524	1
-44.620137	152.087499	1
-44.619637	152.087486	1
-44.619137	152.087524	1
-44.618637	152.087524	1
-44.618137	152.087549	1
-44.617637	152.087537	1
-44.617137	152.087524	1
-44.616637	152.087562	1
-44.616137	152.087638	1
-44.615637	152.087612	1
-44.615137	152.087587	1
-44.614637	152.087587	1
-44.614137	152.087612	1
-44.613637	152.087638	1
-44.613137	152.087663	1
-44.612637	152.087625	1
-44.612137	152.087600	1
-44.611637	152.087600	1
-44.611137	152.087574	1
-44.610637	152.087574	1
-44.610137	152.087549	1
-44.609637	152.087537	1
-44.609137	152.087549	1
-44.608637	152.087562	1
-44.608137	152.087574	1
-44.607637	152.087537	1
-44.607137	152.087537	1
-44.606637	152.087537	1
-44.606137	152.087537	1
-44.605637	152.087549	1
-44.605137	152.087511	1
-44.604637	152.087524	1
-44.604137	152.087537	1
-44.603637	152.087549	1
-44.603137	152.087549	1
-44.602637	152.087549	1
-44.602137	152.087537	1
-44.601637	152.087549	1
-44.601137	152.087587	1
-44.600637	152.087587	1
-44.600137	152.087574	1
-44.599637	152.087574	1
-44.599137	152.087574	1
-44.598637	152.087574	1
-44.598137	152.087574	1
-44.597637	152.087587	1
-44.597137	152.087574	1
-44.596637	152.087574	1
-44.596137	152.087574	1
-44.595637	152.087587	1
-44.595137	152.087574	1
-44.594637	152.087574	1
-44.594137	152.087562	1
-44.593637	152.087549	1
-44.593137	152.087549	1
-44.592637	152.087549	1
-44.592137	152.087511	1
-44.591637	152.087511	1
-44.591137	152.087549	1
-44.590637	152.087524	1
-44.590137	152.087486	1
-44.589637	152.087473	1
-44.589137	152.087486	1
-44.588637	152.087473	1
-44.588137	152.087473	1
-44.587637	152.087448	1
-44.587137	152.087423	1
-44.586637	152.087410	1
-44.586137	152.087423	1
-44.585637	152.087410	1
-44.585137	152.087410	1
-44.584637	152.087435	1
-44.584137	152.087448	1
-44.583637	152.087473	1
-44.583137	152.087486	1
-44.582637	152.087499	1
-44.582137	152.087499	1
-44.581637	152.087549	1
-44.581137	152.087574	1
-44.580637	152.087574	1
-44.580137	152.087574	1
-44.579637	152.087600	1
-44.579137	152.087638	1
-44.578637	152.087650	1
-44.578137	152.087663	1
-44.577637	152.087638	1
-44.577137	152.087638	1
-44.576637	152.087600	1
-44.576137	152.087587	1
-44.575637	152.087562	1
-44.575137	152.087562	1
-44.574637	152.087549	1
-44.574137	152.087549	1
-44.573637	152.087524	1
-44.573137	152.087511	1
-44.572637	152.087486	1
-44.572137	152.087473	1
-44.571637	152.087448	1
-44.571137	152.087435	1
-44.570637	152.087448	1
-44.570137	152.087435	1
-44.569637	152.087473	1
-44.569137	152.087423	1
-44.568637	152.087435	1
-44.568137	152.087423	1
-44.567637	152.087435	1
-44.567137	152.087448	1
-44.566637	152.087448	1
-44.566137	152.087423	1
-44.565637	152.087435	1
-44.565137	152.087448	1
-44.564637	152.087423	1
-44.564137	152.087410	1
-44.563637	152.087410	1
-44.563137	152.087448	1
-44.562637	152.087473	1
-44.562137	152.087499	1
-44.561637	152.087499	1
-44.561137	152.087511	1
-44.560637	152.087511	1
-44.560137	152.087562	1
-44.559637	152.087562	1
-44.559137	152.087587	1
-44.558637	152.087587	1
-44.558137	152.087612	1
-44.557637	152.087625	1
-44.557137	152.087638	1
-44.556637	152.087625	1
-44.556137	152.087600	1
-44.555637	152.087612	1
-44.555137	152.087625	1
-44.554637	152.087612	1
-44.554137	152.087574	1
-44.553637	152.087549	1
-44.553137	152.087524	1
-44.552637	152.087524	1
-44.552137	152.087486	1
-44.551637	152.087486	1
-44.551137	152.087486	1
-44.550637	152.087499	1
-44.550137	152.087486	1
-44.549637	152.087486	1
-44.549137	152.087511	1
-44.548637	152.087524	1
-44.548137	152.087549	1
-44.547637	152.087549	1
-44.547137	152.087524	1
-44.546637	152.087562	1
-44.546137	152.087562	1
-44.545637	152.087574	1
-44.545137	152.087537	1
-44.544637	152.087537	1
-44.544137	152.087524	1
-44.543637	152.087537	1
-44.543137	152.087537	1
-44.542637	152.087511	1
-44.542137	152.087537	1
-44.541637	152.087549	1
-44.541137	152.087537	1
-44.540637	152.087549	1
-44.540137	152.087537	1
-44.539637	152.087537	1
-44.539137	152.087537	1
-44.538637	152.087549	1
-44.538137	152.087537	1
-44.537637	152.087549	1
-44.537137	152.087562	1
-44.536637	152.087549	1
-44.536137	152.087549	1
-44.535637	152.087562	1
-44.535137	152.087549	1
-44.534637	152.087562	1
-44.534137	152.087524	1
-44.533637	152.087524	1
-44.533137	152.087486	1
-44.532637	152.087486	1
-44.532137	152.087499	1
-44.531637	152.087511	1
-44.531137	152.087511	1
-44.530637	152.087511	1
-44.530137	152.087549	1
-44.529637	152.087537	1
-44.529137	152.087587	1
-44.528637	152.087600	1
-44.528137	152.087612	1
-44.527637	152.087638	1
-44.527137	152.087625	1
-44.526637	152.087625	1
-44.526137	152.087650	1
-44.525637	152.087676	1
-44.525137	152.087663	1
-44.524637	152.087650	1
-44.524137	152.087650	1
-44.523637	152.087638	1
-44.523137	152.087612	1
-44.522637	152.087600	1
-44.522137	152.087574	1
-44.521637	152.087574	1
-44.521137	152.087562	1
-44.520637	152.087549	1
-44.520137	152.087537	1
-44.519637	152.087537	1
-44.519137	152.087524	1
-44.518637	152.087537	1
-44.518137	152.087537	1
-44.517637	152.087524	1
-44.517137	152.087537	1
-44.516637	152.087524	1
-44.516137	152.087499	1
-44.515637	152.087486	1
-44.515137	152.087448	1
-44.514637	152.087423	1
-44.514137	152.087423	1
-44.513637	152.087410	1
-44.513137	152.087385	1
-44.512637	152.087398	1
-44.512137	152.087385	1
-44.511637	152.087372	1
-44.511137	152.087372	1
-44.510637	152.087372	1
-44.510137	152.087410	1
-44.509637	152.087435	1
-44.509137	152.087473	1
-44.508637	152.087486	1
-44.508137	152.087524	1
-44.507637	152.087587	1
-44.507137	152.087587	1
-44.506637	152.087587	1
-44.506137	152.087612	1
-44.505637	152.087650	1
-44.505137	152.087663	1
-44.504637	152.087638	1
-44.504137	152.087625	1
-44.503637	152.087625	1
-44.503137	152.087625	1
-44.502637	152.087638	1
-44.502137	152.087587	1
-44.501637	152.087600	1
-44.501137	152.087587	1
-44.500637	152.087625	1
-44.500137	152.087587	1
-44.499637	152.087587	1
-44.499137	152.087600	1
-44.498637	152.087612	1
-44.498137	152.087600	1
-44.497637	152.087574	1
-44.497137	152.087562	1
-44.496637	152.087587	1
-44.496137	152.087587	1
-44.495637	152.087524	1
-44.495137	152.087486	1
-44.494637	152.087499	1
-44.494137	152.087524	1
-44.493637	152.087473	1
-44.493137	152.087435	1
-44.492637	152.087435	1
-44.492137	152.087423	1
-44.491637	152.087423	1
-44.491137	152.087423	1
-44.490637	152.087372	1
-44.490137	152.087423	1
-44.489637	152.087473	1
-44.489137	152.087461	1
-44.488637	152.087511	1
-44.488137	152.087511	1
