X	Y	Gültig
[mm]	[mm]	[1/0]
-44.796017	152.087473	1
-44.795517	152.087385	1
-44.795017	152.087271	1
-44.794517	152.087170	1
-44.794017	152.087018	1
-44.793517	152.086968	1
-44.793017	152.086930	1
-44.792517	152.086892	1
-44.792017	152.086930	1
-44.791517	152.086905	1
-44.791017	152.086842	1
-44.790517	152.086740	1
-44.790017	152.086652	1
-44.789517	152.086488	1
-44.789017	152.086298	1
-44.788517	152.086096	1
-44.788017	152.085843	1
-44.787517	152.085628	1
-44.787017	152.085527	1
-44.786517	152.085452	1
-44.786017	152.085439	1
-44.785517	152.085477	1
-44.785017	152.085515	1
-44.784517	152.085540	1
-44.784017	152.085603	1
-44.783517	152.085628	1
-44.783017	152.085666	1
-44.782517	152.085692	1
-44.782017	152.085730	1
-44.781517	152.085755	1
-44.781017	152.085805	1
-44.780517	152.085843	1
-44.780017	152.085932	1
-44.779517	152.086008	1
-44.779017	152.086083	1
-44.778517	152.086172	1
-44.778017	152.086260	1
-44.777517	152.086336	1
-44.777017	152.086387	1
-44.776517	152.086462	1
-44.776017	152.086488	1
-44.775517	152.086513	1
-44.775017	152.086564	1
-44.774517	152.086589	1
-44.774017	152.086627	1
-44.773517	152.086665	1
-44.773017	152.086715	1
-44.772517	152.086766	1
-44.772017	152.086829	1
-44.771517	152.086905	1
-44.771017	152.086981	1
-44.770517	152.087031	1
-44.770017	152.087094	1
-44.769517	152.087170	1
-44.769017	152.087221	1
-44.768517	152.087271	1
-44.768017	152.087296	1
-44.767517	152.087334	1
-44.767017	152.087385	1
-44.766517	152.087435	1
-44.766017	152.087423	1
-44.765517	152.087461	1
-44.765017	152.087486	1
-44.764517	152.087537	1
-44.764017	152.087574	1
-44.763517	152.087600	1
-44.763017	152.087612	1
-44.762517	152.087574	1
-44.762017	152.087574	1
-44.761517	152.087574	1
-44.761017	152.087612	1
-44.760517	152.087562	1
-44.760017	152.087549	1
-44.759517	152.087537	1
-44.759017	152.087524	1
-44.758517	152.087537	1
-44.758017	152.087524	1
-44.757517	152.087537	1
-44.757017	152.087549	1
-44.756517	152.087549	1
-44.756017	152.087562	1
-44.755517	152.087537	1
-44.755017	152.087549	1
-44.754517	152.087562	1
-44.754017	152.087537	1
-44.753517	152.087524	1
-44.753017	152.087511	1
-44.752517	152.087537	1
-44.752017	152.087562	1
-44.751517	152.087587	1
-44.751017	152.087562	1
-44.750517	152.087537	1
-44.750017	152.087524	1
-44.749517	152.087511	1
-44.749017	152.087473	1
-44.748517	152.087499	1
-44.748017	152.087486	1
-44.747517	152.087486	1
-44.747017	152.087448	1
-44.746517	152.087461	1
-44.746017	152.087461	1
-44.745517	152.087473	1
-44.745017	152.087499	1
-44.744517	152.087549	1
-44.744017	152.087574	1
-44.743517	152.087562	1
-44.743017	152.087549	1
-44.742517	152.087537	1
-44.742017	152.087537	1
-44.741517	152.087537	1
-44.741017	152.087562	1
-44.740517	152.087587	1
-44.740017	152.087600	1
-44.739517	152.087600	1
-44.739017	152.087625	1
-44.738517	152.087612	1
-44.738017	152.087600	1
-44.737517	152.087537	1
-44.737017	152.087537	1
-44.736517	152.087537	1
-44.736017	152.087537	1
-44.735517	152.087549	1
-44.735017	152.087562	1
