Kraft1-P100,Kraft1-WK10-P3,Kraft1-WK11-P17,Kraft1-WK12-P28,Kraft1-WK13-P29,Kraft1-WK14-P19,Kraft1-WK15-P4
14438.523,433.15568999999994,2454.54891,4042.7864400000003,4187.17167,2743.3193699999997,577.54092
15304.976,459.14928,2601.84592,4285.39328,4438.44304,2907.94544,612.1990400000001
14871.749,446.15247,2528.19733,4164.08972,4312.80721,2825.63231,594.86996
14795.76,443.8728,2515.2792000000004,4142.812800000001,4290.770399999999,2811.1944,591.8304
14795.76,443.8728,2515.2792000000004,4142.812800000001,4290.770399999999,2811.1944,591.8304
14871.749,446.15247,2528.19733,4164.08972,4312.80721,2825.63231,594.86996
14871.749,446.15247,2528.19733,4164.08972,4312.80721,2825.63231,594.86996
15890.181,476.70543,2701.3307700000005,4449.250680000001,4608.1524899999995,3019.13439,635.60724
15966.17,478.9851,2714.2489,4470.5276,4630.1893,3033.5723000000003,638.6468
14426.779,432.80337,2452.55243,4039.4981200000007,4183.76591,2741.08801,577.0711600000001
15011.984,450.35952,2552.0372800000005,4203.35552,4353.4753599999995,2852.27696,600.47936
15011.984,450.35952,2552.0372800000005,4203.35552,4353.4753599999995,2852.27696,600.47936
14502.769,435.08306999999996,2465.47073,4060.7753200000006,4205.80301,2755.5261100000002,580.11076
14426.779,432.80337,2452.55243,4039.4981200000007,4183.76591,2741.08801,577.0711600000001
14426.779,432.80337,2452.55243,4039.4981200000007,4183.76591,2741.08801,577.0711600000001
15011.984,450.35952,2552.0372800000005,4203.35552,4353.4753599999995,2852.27696,600.47936
1493.6,44.80799999999999,253.912,418.208,433.14399999999995,283.784,59.744
1493.6,44.80799999999999,253.912,418.208,433.14399999999995,283.784,59.744
1493.6,44.80799999999999,253.912,418.208,433.14399999999995,283.784,59.744
1493.6,44.80799999999999,253.912,418.208,433.14399999999995,283.784,59.744
1493.6,44.80799999999999,253.912,418.208,433.14399999999995,283.784,59.744
15954.427,478.63280999999995,2712.25259,4467.23956,4626.783829999999,3031.34113,638.17708
14860.005,445.80015,2526.20085,4160.8014,4309.401449999999,2823.4009499999997,594.4001999999999
14860.005,445.80015,2526.20085,4160.8014,4309.401449999999,2823.4009499999997,594.4001999999999
16030.416,480.91247999999996,2725.17072,4488.51648,4648.82064,3045.77904,641.21664
14491.025,434.73075,2463.47425,4057.487,4202.39725,2753.29475,579.641
15076.23,452.28689999999995,2562.9591,4221.3444,4372.106699999999,2864.4836999999998,603.0492
15076.23,452.28689999999995,2562.9591,4221.3444,4372.106699999999,2864.4836999999998,603.0492
14567.014,437.01041999999995,2476.3923800000002,4078.7639200000003,4224.43406,2767.7326599999997,582.68056
14567.014,437.01041999999995,2476.3923800000002,4078.7639200000003,4224.43406,2767.7326599999997,582.68056
14491.025,434.73075,2463.47425,4057.487,4202.39725,2753.29475,579.641
14491.025,434.73075,2463.47425,4057.487,4202.39725,2753.29475,579.641
15000.241,450.00723,2550.04097,4200.067480000001,4350.06989,2850.04579,600.00964
15000.241,450.00723,2550.04097,4200.067480000001,4350.06989,2850.04579,600.00964
14924.251,447.72753,2537.12267,4178.79028,4328.03279,2835.6076900000003,596.97004
15140.048,454.20144,2573.8081600000005,4239.21344,4390.61392,2876.60912,605.6019200000001
15140.048,454.20144,2573.8081600000005,4239.21344,4390.61392,2876.60912,605.6019200000001
14555.271,436.65813,2474.3960700000002,4075.4758800000004,4221.02859,2765.50149,582.2108400000001
1447.928,43.43784,246.14776000000003,405.4198400000001,419.89912,275.10632000000004,57.917120000000004
14555.271,436.65813,2474.3960700000002,4075.4758800000004,4221.02859,2765.50149,582.2108400000001
14555.271,436.65813,2474.3960700000002,4075.4758800000004,4221.02859,2765.50149,582.2108400000001
15064.486,451.93458,2560.9626200000002,4218.05608,4368.70094,2862.25234,602.5794400000001
15064.486,451.93458,2560.9626200000002,4218.05608,4368.70094,2862.25234,602.5794400000001
14988.497,449.65491,2548.04449,4196.77916,4346.664129999999,2847.81443,599.53988
15204.722,456.14166,2584.80274,4257.322160000001,4409.369379999999,2888.89718,608.18888
15204.722,456.14166,2584.80274,4257.322160000001,4409.369379999999,2888.89718,608.18888
15128.732,453.86196,2571.8844400000003,4236.04496,4387.33228,2874.45908,605.14928
15204.722,456.14166,2584.80274,4257.322160000001,4409.369379999999,2888.89718,608.18888
14619.516,438.58547999999996,2485.31772,4093.46448,4239.65964,2777.70804,584.78064
14619.516,438.58547999999996,2485.31772,4093.46448,4239.65964,2777.70804,584.78064
14543.527,436.30581,2472.39959,4072.1875600000003,4217.622829999999,2763.27013,581.74108
14543.527,436.30581,2472.39959,4072.1875600000003,4217.622829999999,2763.27013,581.74108
