Jain
Rollenlager_Kontur_Verschleiß
17

18.03.24
17:09
Anzahl	X	Y	Gültig
[No]	[mm]	[mm]	[1/0]
0	-229.764375	159.415270	1
1	-229.763874	159.415220	1
2	-229.763373	159.415170	1
3	-229.762872	159.415120	1
4	-229.762371	159.415070	1
5	-229.761870	159.415020	1
6	-229.761370	159.415020	1
7	-229.760870	159.415020	1
8	-229.760370	159.415020	1
9	-229.759870	159.415020	1
10	-229.759370	159.415020	1
11	-229.758871	159.415070	1
12	-229.758371	159.415070	1
13	-229.757871	159.415070	1
14	-229.757371	159.415070	1
15	-229.756871	159.415070	1
16	-229.756371	159.415070	1
17	-229.755871	159.415070	1
18	-229.755371	159.415070	1
19	-229.754871	159.415070	1
20	-229.754371	159.415070	1
21	-229.753871	159.415070	1
22	-229.753371	159.415070	1
23	-229.752872	159.415120	1
24	-229.752373	159.415170	1
25	-229.751874	159.415220	1
26	-229.751375	159.415270	1
27	-229.750876	159.415320	1
28	-229.750376	159.415320	1
29	-229.749876	159.415320	1
30	-229.749377	159.415371	1
31	-229.748877	159.415371	1
32	-229.748376	159.415320	1
33	-229.747876	159.415320	1
34	-229.747376	159.415320	1
35	-229.746875	159.415270	1
36	-229.746375	159.415270	1
37	-229.745875	159.415270	1
38	-229.745375	159.415270	1
39	-229.744875	159.415270	1
40	-229.744376	159.415320	1
41	-229.743876	159.415320	1
42	-229.743377	159.415371	1
43	-229.742877	159.415371	1
44	-229.742377	159.415371	1
45	-229.741876	159.415320	1
46	-229.741375	159.415270	1
47	-229.740874	159.415220	1
48	-229.740373	159.415170	1
49	-229.739871	159.415070	1
50	-229.739369	159.414970	1
51	-229.738868	159.414920	1
52	-229.738366	159.414819	1
53	-229.737865	159.414769	1
54	-229.737365	159.414769	1
55	-229.736865	159.414769	1
56	-229.736366	159.414819	1
57	-229.735867	159.414869	1
58	-229.735368	159.414920	1
59	-229.734870	159.415020	1
60	-229.734371	159.415070	1
61	-229.733873	159.415170	1
62	-229.733374	159.415220	1
63	-229.732875	159.415270	1
64	-229.732375	159.415270	1
65	-229.731875	159.415270	1
66	-229.731375	159.415270	1
67	-229.730875	159.415270	1
68	-229.730375	159.415270	1
69	-229.729874	159.415220	1
70	-229.729375	159.415270	1
71	-229.728875	159.415270	1
72	-229.728376	159.415320	1
73	-229.727877	159.415371	1
74	-229.727378	159.415471	1
75	-229.726879	159.415521	1
76	-229.726380	159.415571	1
77	-229.725880	159.415571	1
78	-229.725381	159.415621	1
79	-229.724880	159.415571	1
80	-229.724380	159.415571	1
81	-229.723879	159.415521	1
82	-229.723377	159.415421	1
83	-229.722877	159.415371	1
84	-229.722376	159.415320	1
85	-229.721875	159.415270	1
86	-229.721374	159.415220	1
87	-229.720874	159.415220	1
88	-229.720373	159.415170	1
89	-229.719873	159.415170	1
90	-229.719373	159.415170	1
91	-229.718873	159.415170	1
92	-229.718373	159.415170	1
93	-229.717873	159.415170	1
94	-229.717373	159.415170	1
95	-229.716872	159.415120	1
96	-229.716371	159.415070	1
97	-229.715870	159.415020	1
